Jogador;gols_totais;ass_totais;xG_totais;npxG_totais;xAG_totais;SCA_totais;GCA_totais;PrgP_totais;PrgC_totais;conducoes_totais;tent_drible_totais;suc_drible_totais;bloqueios_totais;amarelos_totais;vermelhos_totais;minutos_totais;G/90;A/90;xG/90;npxG/90;xAG/90;SCA/90;GCA/90;PrgP/90;PrgC/90;Conducoes/90;Tent/90;Suc/90;Bloq/90;Am/90;Vm/90;G+A;G+A/90;G-xG;xG+xAG;xG+xAG/90;Drible%
Helinho;7;2;3.3;3.3;2.1;66.0;7.0;43.0;35.0;420.0;60.0;35.0;18.0;4;0;1102.0;0.5716878402903811;0.16333938294010888;0.26950998185117964;0.26950998185117964;0.17150635208711434;5.390199637023594;0.5716878402903811;3.5117967332123414;2.8584392014519056;34.30127041742287;4.900181488203267;2.8584392014519056;1.47005444646098;0.32667876588021777;0.0;9;0.73502722323049;3.7;5.4;0.44101633393829404;0.5833333333333334
Bruno Henrique;7;2;7.7;7.0;2.2;86.0;9.0;150.0;67.0;842.0;66.0;22.0;43.0;8;0;3020.0;0.20860927152317882;0.059602649006622516;0.22947019867549667;0.20860927152317882;0.06556291390728478;2.562913907284768;0.26821192052980136;4.470198675496689;1.9966887417218544;25.09271523178808;1.966887417218543;0.6556291390728477;1.281456953642384;0.23841059602649006;0.0;9;0.26821192052980136;-0.7000000000000002;9.9;0.2950331125827815;0.3333333333333333
Jhon Arias;6;3;6.2;4.5;3.5;104.0;7.0;84.0;88.0;939.0;116.0;47.0;34.0;5;0;2286.0;0.23622047244094488;0.11811023622047244;0.2440944881889764;0.17716535433070865;0.1377952755905512;4.094488188976378;0.2755905511811024;3.3070866141732282;3.464566929133858;36.968503937007874;4.566929133858268;1.8503937007874014;1.3385826771653542;0.1968503937007874;0.0;9;0.3543307086614173;-0.20000000000000018;9.7;0.3818897637795275;0.4051724137931034
Luciano Rodríguez;6;1;6.0;5.2;1.1;38.0;5.0;28.0;23.0;228.0;44.0;13.0;7.0;2;0;900.0;0.6000000000000001;0.1;0.6000000000000001;0.52;0.11000000000000001;3.8000000000000003;0.5;2.8;2.3000000000000003;22.8;4.4;1.3;0.7;0.2;0.0;7;0.7;0.0;7.1;0.71;0.29545454545454547
Nikão;6;2;3.6;3.6;2.9;97.0;3.0;88.0;30.0;527.0;29.0;14.0;11.0;2;0;1596.0;0.3383458646616541;0.11278195488721804;0.2030075187969925;0.2030075187969925;0.16353383458646614;5.469924812030075;0.16917293233082706;4.962406015037594;1.6917293233082706;29.718045112781954;1.6353383458646615;0.7894736842105263;0.6203007518796992;0.11278195488721804;0.0;8;0.45112781954887216;2.4;6.5;0.3665413533834586;0.4827586206896552
Julimar;6;2;5.9;5.9;2.0;67.0;3.0;42.0;83.0;482.0;63.0;31.0;22.0;4;0;1665.0;0.32432432432432434;0.1081081081081081;0.31891891891891894;0.31891891891891894;0.1081081081081081;3.6216216216216215;0.16216216216216217;2.27027027027027;4.486486486486487;26.054054054054056;3.4054054054054057;1.6756756756756757;1.189189189189189;0.2162162162162162;0.0;8;0.4324324324324324;0.09999999999999964;7.9;0.427027027027027;0.49206349206349204
Renato Kayser;6;1;6.7;6.0;1.2999999999999998;31.0;3.0;27.0;20.0;214.0;28.0;13.0;11.0;2;1;1197.0;0.45112781954887216;0.07518796992481203;0.5037593984962406;0.45112781954887216;0.09774436090225563;2.3308270676691727;0.22556390977443608;2.0300751879699246;1.5037593984962405;16.090225563909772;2.1052631578947367;0.9774436090225563;0.8270676691729323;0.15037593984962405;0.07518796992481203;7;0.5263157894736842;-0.7000000000000002;8.0;0.6015037593984962;0.4642857142857143
Gabriel Veron;6;2;3.7;3.7;1.4000000000000001;38.0;4.0;34.0;26.0;317.0;38.0;14.0;15.0;3;0;1611.0;0.33519553072625696;0.11173184357541899;0.20670391061452514;0.20670391061452514;0.0782122905027933;2.1229050279329607;0.22346368715083798;1.8994413407821227;1.452513966480447;17.709497206703908;2.1229050279329607;0.7821229050279329;0.8379888268156425;0.16759776536312848;0.0;8;0.44692737430167595;2.3;5.1000000000000005;0.28491620111731847;0.3684210526315789
Erick;6;4;5.8;5.8;4.2;80.0;6.0;126.0;54.0;875.0;80.0;46.0;50.0;6;0;3598.0;0.15008337965536409;0.10005558643690939;0.1450806003335186;0.1450806003335186;0.10505836575875487;2.001111728738188;0.15008337965536409;3.151750972762646;1.350750416898277;21.88715953307393;2.001111728738188;1.150639244024458;1.2506948304613674;0.15008337965536409;0.0;10;0.2501389660922735;0.20000000000000018;10.0;0.2501389660922735;0.575
Franco Cristaldo;6;2;5.2;4.4;5.4;125.0;9.0;153.0;31.0;726.0;29.0;12.0;20.0;1;0;2113.0;0.2555608140085187;0.08518693800283957;0.22148603880738288;0.18741126360624705;0.23000473260766682;5.324183625177473;0.383341221012778;6.5168007572172275;1.3203975390440132;30.922858495030763;1.2352106010411736;0.5111216280170374;0.8518693800283956;0.04259346900141978;0.0;8;0.34074775201135826;0.7999999999999998;10.600000000000001;0.4514907714150498;0.41379310344827586
